IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,POL,Poland,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,24.33,,,,,,24.33,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,USA,United States of America,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,24.38,,,,,,24.38,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,24.84,,,,,,24.84,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,DNK,Denmark,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,24.85,,,,,,24.85,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,EST,Estonia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,24.99,,,,,,24.99,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.01,,,,,,25.01,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,PER,Peru,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.05,,,,,,25.05,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,NLD,Netherlands,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.13,,,,,,25.13,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.23,,,,,,25.23,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,AMR,Americas,Country,COL,Colombia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.27,,,,,,25.27,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,IRL,Ireland,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.33,,,,,,25.33,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,GRC,Greece,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.52,,,,,,25.52,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,ISL,Iceland,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.54,,,,,,25.54,,,EN,2020-12-03T23:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,EUR,Europe,Country,BEL,Belgium,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,25.58,,,,,,25.58,,,EN,2020-12-03T23:00:00.000Z
